License_plate,Driver,Trailer,Phone,Haulier,Time,Date,Location,Transport,Department,Pay_type,Pay_amount,Sheet,Last_transport
IE72588,Maria Nielsen,HG2926,+45 86914414,Girteka Logistics,11:30,2026-02-13,DK-3300,,NAESJ,,0.0,1,
NH25896,Anders Nørgaard,AY6088,+45 31383780,Erling E Christoffersen,07:30,2026-02-18,DK-6400,,NAESJ,,0.0,1,
RX31653,Maria Kirk,YN1182,+45 63255142,AK NEMT TRANSPORT APS,09:30,2026-02-17,DK-5300,,NAESJ,,0.0,1,
CH36625,Emil Christensen,EF6248,+45 64594404,Torben Jørgensen Eftf. ApS,10:30,2026-02-19,DK-2900,,NAESJ,,0.0,1,
BP70807,Oscar Carlsen,KP8805,+45 54777156,DB Schenker,06:30,2026-02-13,DK-6700,,NAESJ,,0.0,1,
JH26735,Michael Andersen,JA7664,+45 43041056,D S Promotion ApS,09:30,2026-02-10,DK-4600,,NAESJ,,0.0,1,
NO33849,Peter Thomsen,GW7317,+45 16746590,Kjærgaard og Kjærsgaard Distribution,13:30,2026-02-11,DK-7200,,NAESJ,,0.0,1,
AY97466,Anne Jensen,LE2678,+45 77647016,TN Transport A/S,12:30,2026-02-20,DK-3000,,NAESJ,,0.0,1,
AM25781,Peter Schmidt,CB4217,+45 38054255,Arcese,10:30,2026-02-12,DK-2600,,NAESJ,,0.0,1,
KS32931,Krzysztof Wiśniewski,,+33 0766773426,Kjærgaard og Kjærsgaard Distribution,13:00,2026-02-17,"Heinersbrück, 03185, DE",,KDEFR,,0.0,1,
OU50045,Tanja Wagner,,+49 648586567,XPO Logistics,09:00,2026-02-13,"Düsseldorf, 40233, DE",,KDEFR,,0.0,1,
SB86765,Catherine Bertrand,,+33 0170115597,DSV ROAD A/S,10:30,2026-02-13,"Berlin, 12621, DE",,KDEFR,,0.0,1,
PI11324,Ivan Woźniak,,+49 643559595,ATEA,12:00,2026-02-09,"Frankfurt am Main, 60549, DE",,KDEFR,,0.0,1,
MD38571,Nicole Schwarz,,+XX 502937628,Kjærgaard og Kjærsgaard Distribution,10:00,2026-02-11,"Pouilly-sur-Loire, 58150, FR",,KDEFR,,0.0,1,
VT98654,Petra Zimmermann,,+XX 299570371,GEODIS,10:30,2026-02-16,"Kassel, 34119, DE",,KDEFR,,0.0,1,
MJ23027,Christian Wolf,,+XX 024293446,DSV ROAD A/S,08:00,2026-02-17,"Lübeck, 23552, DE",,KDEFR,,0.0,1,
LL20944,Nicole Wagner,,+33 0157716337,Compass,09:30,2026-02-11,"Hamburg, 20095, DE",,KDEFR,,0.0,1,
LN26239,Christine Michel,,+49 002874597,Raben Group,09:00,2026-02-20,"Limoges, 87000, FR",,KDEFR,,0.0,1,
QR83337,Piotr Kamiński,,+33 0722571583,Panalpina,13:00,2026-02-11,"Poitiers, 86000, FR",,KDEFR,,0.0,1,
XB45218,Frank Schulz,,+XX 945274193,LL-Transport ApS,10:00,2026-02-10,"Stuttgart, 70193, DE",,KDEFR,,0.0,1,
ET98553,Marek Kowalski,,+49 271617915,Girteka Logistics,09:00,2026-02-11,"Berlin, 12621, DE",,KDEFR,,0.0,1,
XS95701,Nathalie Simon,,+XX 029361168,DSV ROAD A/S,11:30,2026-02-11,"Bremen, 28219, DE",,KDEFR,,0.0,1,
TM28174,Marek Popov,,+XX 012934235,Køl og Frys Transport APS,12:00,2026-02-19,"RA Den Helder, 1782, DE",,KDEFR,,0.0,1,
CB55429,Ivan Ivanov,,+33 0663951398,Dilligencen ApS,11:00,2026-02-12,"Leinefelde-Worbis, 37327, DE",,KDEFR,,0.0,1,
UW76182,Claudia Neumann,,+49 835072244,Vognmand Jørgen Borup,12:30,2026-02-13,"Leipzig, 04155, DE",,KDEFR,,0.0,1,
NN72851,Tanja Schneider,,+XX 126340096,DSV,13:00,2026-02-18,"Freiburg im Breisgau, 79106, DE",,KDEFR,,0.0,1,
WF53161,Sophie Dubois,,+33 0744848905,GEODIS,13:00,2026-02-20,"Stuttgart, 70193, DE",,KDEFR,,0.0,1,
OV57739,Nathalie Robert,,+33 0081201630,Compass,13:00,2026-02-19,"Heinersbrück, 03185, DE",,KDEFR,,0.0,1,
QH52213,Peter Wagner,,+XX 591403714,TN Transport A/S,08:30,2026-02-09,"Wuppertal, 42107, DE",,KDEFR,,0.0,1,
JA65086,Irina Horvat,,+33 0894829822,XPO Logistics,11:30,2026-02-13,"Berlin, 13589, DE",,KDEFR,,0.0,1,
JC45817,Susanne Becker,,+33 0017694228,GEODIS,07:30,2026-02-20,"Stuttgart, 70193, DE",,KDEFR,,0.0,1,
FI17764,Magdalena Kamiński,,+49 445942897,Kjærgaard og Kjærsgaard Distribution,06:30,2026-02-12,"Paris, 75007, FR",,KDEFR,,0.0,1,
KK98316,Anja Fischer,,+33 0594106338,Torben Jørgensen Eftf. ApS,10:00,2026-02-12,"Blois, 41000, FR",,KDEFR,,0.0,1,
JO25901,Wojciech Lewandowski,,+33 0142502566,Arcese,11:30,2026-02-11,"Bielefeld, 33607, DE",,KDEFR,,0.0,1,
HT02082,Zofia Zieliński,,+33 0312001397,Hellmann Worldwide Logistics,10:00,2026-02-09,"Tours, 37000, FR",,KDEFR,,0.0,1,
ZC16709,Frank Klein,,+49 552650115,LKW Walter,07:30,2026-02-19,"Saint-Herblain, 44800, FR",,KDEFR,,0.0,1,
HP14395,Peter Schmidt,,+33 0435945071,XPO Logistics,13:30,2026-02-16,"Tours, 37000, FR",,KDEFR,,0.0,1,
FG87093,Katarzyna Wiśniewski,,+33 0862787413,BIH Trans,07:30,2026-02-06,"Berlin, 10117, DE",,KDEFR,,0.0,1,
LT44289,Frank Richter,,+XX 846161187,Kjærgaard og Kjærsgaard Distribution,09:30,2026-02-20,"Poitiers, 86000, FR",,KDEFR,,0.0,1,
QO78672,Magdalena Novak,,+49 754894559,The Kings Transport ApS,06:00,2026-02-09,"Fehmarn, 23769, DE",TOUR01-0001,KDEGR,,0.0,1,
KP86287,Katrin Becker,,+XX 125140436,AK NEMT TRANSPORT APS,11:00,2026-02-16,"Freilassing, 83395, DE",,KDEGR,,0.0,1,
EB01300,Anja Wagner,,+49 084109341,Arcese,10:00,2026-02-17,"Tichero, 680 03, GR",,KDEGR,,0.0,1,
LI26296,Natalia Kamiński,,+30 6938367968,LL-Transport ApS,08:00,2026-02-09,"Bremen, 28219, DE",,KDEGR,,0.0,1,
TX63075,Olga Kuznetsov,,+XX 638255878,Køl og Frys Transport APS,10:00,2026-02-12,"Harrislee, 24955, DE",,KDEGR,,0.0,1,
LR79603,Georgia Karagiannis,,+49 189034505,TN Transport A/S,11:00,2026-02-06,"Hannover, 30177, DE",,KDEGR,,0.0,1,
NC67101,Konstantinos Antoniou,,+30 3479509328,DACHSER,08:00,2026-02-11,"Tichero, 680 03, GR",,KDEGR,,0.0,1,
IS99085,Natalia Vasile,,+49 963728630,AK NEMT TRANSPORT APS,12:30,2026-02-09,"RA Den Helder, 1782, DE",,KDEGR,,0.0,1,
VX46941,Agnieszka Novak,,+30 4173916898,DSV,06:30,2026-02-06,"Freiburg im Breisgau, 79106, DE",,KDEGR,,0.0,1,
XT60180,Andreas Hoffmann,,+49 989816778,DHL Freight,10:00,2026-02-19,"Stuttgart, 70188, DE",,KDEGR,,0.0,1,
EM36857,Dmitry Kovacs,,+XX 957448771,XPO Logistics,10:00,2026-02-10,"Trikala, 421 00, GR",,KDEGR,,0.0,1,
UK43516,Dmitry Novak,,+30 9453846232,DB Schenker,11:00,2026-02-20,"München, 81241, DE",,KDEGR,,0.0,1,
MZ43653,Sergei Dąbrowski,,+XX 904744825,XPO Logistics,11:00,2026-02-13,"Tripoli, 221 32, GR",,KDEGR,,0.0,1,
IK65312,Martin Meyer,,+XX 032456253,DHL Freight,09:00,2026-02-11,"München, 81241, DE",,KDEGR,,0.0,1,
SU25650,Anastasia Filippou,,+XX 871351961,ATEA,09:00,2026-02-11,"Berlin, 13589, DE",,KDEGR,,0.0,1,
QI19470,Eleni Markou,,+49 746439534,Kuehne+Nagel,11:00,2026-02-20,"Heinersbrück, 03185, DE",,KDEGR,,0.0,1,
QI59635,Maria Bakoyannis,,+XX 642397805,C.H. Robinson,06:30,2026-02-19,"Korinthos, 201 00, GR",,KDEGR,,0.0,1,
TS14454,Zofia Zieliński,,+XX 983744557,Vognmand Jørgen Borup,07:00,2026-02-09,"Komotini, 691 00, GR",,KDEGR,,0.0,1,TOUR01-0002
CO32939,Marek Wójcik,,+49 042744917,Raben Group,12:30,2026-02-18,"Kastoria, 521 00, GR",,KDEGR,,0.0,1,
RP97841,Birgit Schulz,,+49 039197622,LKW Walter,07:30,2026-02-12,"Spetson,, 661 00, GR",,KDEGR,,0.0,1,
ER25320,Vassilios Vasileiou,,+XX 758524047,Køl og Frys Transport APS,06:30,2026-02-18,"München, 81241, DE",,KDEGR,,0.0,1,
DQ29825,Zofia Woźniak,,+30 4646301726,Panalpina,06:30,2026-02-20,"Berlin, 12621, DE",,KDEGR,,0.0,1,
IJ45237,Zofia Kuznetsov,,+49 963888327,DSV,08:30,2026-02-19,"Thira, 847 00, GR",,KDEGR,,0.0,1,
UO58863,Jörg Schmidt,,+30 1851095653,DB Schenker,10:30,2026-02-17,"Komotini, 691 00, GR",,KDEGR,,0.0,1,
TK03142,Evangelia Ioannidis,,+30 4271018054,Vognmand Jørgen Borup,08:00,2026-02-13,"Tichero, 680 03, GR",,KDEGR,,0.0,1,
PX45283,Despoina Vasileiou,,+30 2760025861,Kjærgaard og Kjærsgaard Distribution,06:00,2026-02-12,"Stuttgart, 70188, DE",,KDEGR,,0.0,1,
DW01960,Peter Schwarz,,+XX 982616114,Køl og Frys Transport APS,06:30,2026-02-20,"Berlin, 13589, DE",,KDEGR,,0.0,1,
XZ50218,Thomas Klein,,+49 240104545,Dilligencen ApS,08:30,2026-02-10,"RA Den Helder, 1782, DE",,KDEGR,,0.0,1,
IA11569,Tomasz Petrov,,+XX 332443727,Torben Jørgensen Eftf. ApS,06:30,2026-02-16,"Kassel, 34119, DE",,KDEGR,,0.0,1,
BV06231,Anna Vasileiou,,+30 1250030924,The Kings Transport ApS,12:00,2026-02-12,"Freilassing, 83395, DE",,KDEGR,,0.0,1,TOUR01-0001
BM75497,Sofia Mitropoulos,,+33 0365510370,DACHSER,08:00,2026-02-10,"Beauvoir, 50170, FR",,KFRGR,,0.0,1,
GC15388,Ioannis Spyridis,,+30 0666641910,DHL Freight,12:00,2026-02-19,"Thira, 847 00, GR",,KFRGR,,0.0,1,
HV74493,Elena Kowalski,,+33 0353128405,Køl og Frys Transport APS,08:30,2026-02-20,"Ellomenos, 310 84, GR",,KFRGR,,0.0,1,
EK31473,Sophie Fournier,,+XX 769656483,LKW Walter,08:00,2026-02-12,"Volos, 383 33, GR",,KFRGR,,0.0,1,
CK36449,Vasiliki Kouvelas,,+XX 175274844,Køl og Frys Transport APS,12:30,2026-02-19,"Dunkerque, 59430, FR",,KFRGR,,0.0,1,
WR43116,Georgios Mitropoulos,,+XX 263657301,Raben Group,11:00,2026-02-16,"Beauvoir, 50170, FR",,KFRGR,,0.0,1,
WM41453,Anastasia Georgiou,,+33 0738646114,DHL Freight,08:00,2026-02-13,"Quimper, 29000, FR",,KFRGR,,0.0,1,
HS34424,Ewa Szymański,,+XX 493849600,The Kings Transport ApS,08:00,2026-02-06,"Kozani, 501 00, GR",,KFRGR,,0.0,1,
KO88484,Anna Alexiou,,+30 5796219430,Compass,11:30,2026-02-09,"Θεσσαλονίκη, 562 24, GR",,KFRGR,,0.0,1,
SM78939,Sofia Alexiou,,+30 2630655007,DHL Freight,09:00,2026-02-12,"Θεσσαλονίκη, 562 24, GR",,KFRGR,,0.0,1,
XQ80632,Michel Roux,,+33 0524716612,AK NEMT TRANSPORT APS,09:00,2026-02-06,"Quimper, 29000, FR",,KFRGR,,0.0,1,
KN65341,Vassilios Georgiou,,+XX 951435441,DACHSER,09:00,2026-02-20,"Tripoli, 221 32, GR",,KFRGR,,0.0,1,
YE57386,Sylvie David,,+XX 628218828,DSV,06:00,2026-02-13,"Genisea, 670 64, GR",,KFRGR,,0.0,1,
ZJ70350,Christophe Bertrand,,+XX 042206923,Compass,10:30,2026-02-18,"Paris, 75007, FR",,KFRGR,,0.0,1,
KF33275,Isabelle Michel,,+33 0922250533,DHL Freight,09:30,2026-02-19,"Saint-Martin-de-May, 14320, FR",,KFRGR,,0.0,1,
FW39482,Sotirios Konstantinou,,+XX 002492577,C.H. Robinson,11:30,2026-02-11,"Montpellier, 34090, FR",,KFRGR,,0.0,1,
RX82330,Sophie Michel,,+33 0705264970,LL-Transport ApS,13:00,2026-02-12,"Saint-Herblain, 44800, FR",,KFRGR,,0.0,1,
QZ45654,Katarzyna Petrov,,+33 0776709903,DACHSER,06:30,2026-02-20,"Limoges, 87000, FR",,KFRGR,,0.0,1,
QI93007,Konstantinos Papadimitriou,,+33 0763251903,Erling E Christoffersen,11:00,2026-02-19,"Lavrio, 195 00, GR",,KFRGR,,0.0,1,
GL68357,Sofia Mylonas,,+33 0947339860,DSV ROAD A/S,12:30,2026-02-11,"Rambouillet, 78120, FR",,KFRGR,,0.0,1,
DM18726,Vassilios Mitropoulos,,+XX 273196342,LL-Transport ApS,11:30,2026-02-06,"Tours, 37000, FR",,KFRGR,,0.0,1,
OL74025,Vasiliki Vasileiou,,+33 0748908714,Hellmann Worldwide Logistics,11:30,2026-02-09,"Tripoli, 221 32, GR",,KFRGR,,0.0,1,
BV01214,Dmitry Smirnov,,+33 0763873678,C.H. Robinson,07:00,2026-02-20,"Marseille, 13004, FR",,KFRGR,,0.0,1,
WQ07592,Evangelia Dimopoulos,,+XX 568339932,Kjærgaard og Kjærsgaard Distribution,06:00,2026-02-19,"Ellomenos, 310 84, GR",,KFRGR,,0.0,1,
YM77962,Georgia Antoniou,,+XX 779028983,DB Schenker,06:00,2026-02-16,"Trikala, 421 00, GR",,KFRGR,,0.0,1,
CR02503,Nathalie Roux,,+XX 594622052,Jas Kurerservice,09:30,2026-02-12,"Nice, 06000, FR",,KFRGR,,0.0,1,
LJ41016,Ewa Kamiński,,+30 1039192619,Hellmann Worldwide Logistics,09:00,2026-02-13,"Saint-Martin-de-May, 14320, FR",,KFRGR,,0.0,1,
BN68371,Joanna Wiśniewski,,+XX 855294464,Vognmand Jørgen Borup,12:00,2026-02-09,"Πύλη, 420 37, GR",,KFRGR,,0.0,1,
PV64440,Jean Moreau,,+33 0518643901,Panalpina,13:30,2026-02-10,"Trikala, 421 00, GR",,KFRGR,,0.0,1,
XY59030,Grzegorz Petrov,,+33 0397002649,LL-Transport ApS,12:30,2026-02-18,"Paris, 75007, FR",,KFRGR,,0.0,1,
